iter	Passed	Remaining
0	44	44441
1	81	40829
2	102	34196
3	121	30345
4	142	28262
5	163	27124
6	182	25875
7	201	25025
8	220	24280
9	237	23552
10	254	22900
11	270	22287
12	286	21767
13	303	21349
14	319	20959
15	335	20634
16	353	20444
17	370	20205
18	388	20068
19	406	19932
20	424	19795
21	448	19934
22	470	19970
23	490	19950
24	511	19962
25	531	19915
26	552	19917
27	574	19958
28	599	20060
29	618	20000
30	641	20052
31	661	20024
32	683	20032
33	705	20046
34	729	20104
35	752	20139
36	775	20185
37	800	20269
38	823	20293
39	848	20355
40	873	20422
41	895	20420
42	918	20435
43	940	20439
44	962	20418
45	984	20413
46	1007	20432
47	1029	20426
48	1051	20399
49	1070	20348
50	1092	20321
51	1113	20292
52	1151	20571
53	1195	20944
54	1223	21029
55	1247	21028
56	1270	21015
57	1295	21035
58	1317	21012
59	1338	20977
60	1361	20959
61	1382	20915
62	1403	20869
63	1423	20824
64	1446	20812
65	1467	20764
66	1489	20745
67	1511	20716
68	1532	20680
69	1553	20638
70	1573	20589
71	1594	20555
72	1615	20509
73	1635	20464
74	1656	20429
75	1682	20455
76	1702	20413
77	1725	20399
78	1748	20381
79	1771	20370
80	1795	20375
81	1818	20357
82	1841	20340
83	1864	20329
84	1886	20312
85	1911	20310
86	1932	20280
87	1952	20234
88	1975	20219
89	1995	20181
90	2015	20128
91	2034	20083
92	2053	20030
93	2072	19974
94	2091	19921
95	2109	19867
96	2128	19817
97	2149	19787
98	2174	19792
99	2226	20042
100	2248	20012
101	2270	19986
102	2289	19942
103	2310	19906
104	2331	19873
105	2350	19826
106	2370	19780
107	2389	19734
108	2409	19692
109	2429	19655
110	2449	19619
111	2470	19585
112	2491	19555
113	2511	19521
114	2532	19488
115	2552	19451
116	2573	19419
117	2594	19390
118	2613	19351
119	2634	19321
120	2655	19287
121	2675	19256
122	2698	19243
123	2719	19213
124	2742	19198
125	2770	19218
126	2800	19254
127	2828	19270
128	2855	19276
129	2882	19288
130	2904	19269
131	2926	19246
132	2948	19219
133	2969	19191
134	2991	19165
135	3012	19137
136	3033	19107
137	3054	19079
138	3076	19057
139	3098	19035
140	3119	19007
141	3143	18992
142	3165	18972
143	3189	18958
144	3209	18926
145	3229	18890
146	3249	18857
147	3270	18826
148	3290	18791
149	3310	18758
150	3330	18724
151	3349	18687
152	3370	18656
153	3391	18628
154	3411	18599
155	3431	18567
156	3451	18533
157	3470	18496
158	3489	18457
159	3509	18423
160	3528	18386
161	3547	18350
162	3567	18316
163	3586	18283
164	3605	18248
165	3626	18218
166	3648	18200
167	3670	18176
168	3689	18143
169	3709	18109
170	3729	18078
171	3748	18045
172	3768	18013
173	3787	17980
174	3822	18020
175	3856	18053
176	3887	18075
177	3908	18047
178	3925	18006
179	3943	17963
180	3960	17922
181	3979	17884
182	3997	17845
183	4017	17816
184	4038	17791
185	4061	17773
186	4081	17746
187	4104	17728
188	4126	17705
189	4145	17674
190	4165	17644
191	4186	17618
192	4206	17590
193	4227	17563
194	4247	17534
195	4266	17501
196	4285	17469
197	4305	17438
198	4324	17407
199	4344	17376
200	4363	17343
201	4382	17311
202	4401	17279
203	4421	17253
204	4441	17223
205	4460	17192
206	4480	17163
207	4500	17135
208	4519	17106
209	4544	17096
210	4567	17079
211	4592	17070
212	4616	17056
213	4642	17052
214	4666	17039
215	4689	17020
216	4711	17000
217	4733	16979
218	4754	16956
219	4776	16934
220	4798	16914
221	4818	16885
222	4838	16858
223	4858	16832
224	4883	16821
225	4908	16810
226	4930	16789
227	4955	16778
228	4979	16763
229	5003	16751
230	5026	16734
231	5053	16727
232	5078	16717
233	5098	16691
234	5121	16672
235	5158	16699
236	5181	16680
237	5200	16651
238	5219	16620
239	5238	16587
240	5256	16554
241	5274	16521
242	5292	16488
243	5311	16455
244	5330	16425
245	5349	16395
246	5367	16364
247	5387	16334
248	5405	16304
249	5425	16276
250	5444	16246
251	5463	16216
252	5482	16186
253	5501	16157
254	5520	16129
255	5540	16102
256	5560	16074
257	5579	16046
258	5599	16019
259	5619	15993
260	5643	15979
261	5665	15957
262	5692	15951
263	5720	15948
264	5749	15946
265	5777	15943
266	5803	15933
267	5828	15918
268	5850	15898
269	5872	15878
270	5894	15855
271	5915	15832
272	5936	15809
273	5957	15783
274	5978	15760
275	5999	15739
276	6021	15716
277	6046	15703
278	6071	15689
279	6097	15678
280	6123	15669
281	6147	15653
282	6169	15630
283	6190	15608
284	6212	15585
285	6233	15561
286	6254	15537
287	6275	15515
288	6296	15489
289	6315	15462
290	6335	15436
291	6355	15411
292	6376	15385
293	6395	15357
294	6415	15331
295	6434	15304
296	6472	15319
297	6508	15331
298	6539	15331
299	6562	15312
300	6578	15277
301	6595	15243
302	6613	15212
303	6630	15179
304	6648	15149
305	6665	15116
306	6682	15085
307	6701	15055
308	6719	15026
309	6738	14998
310	6756	14968
311	6774	14939
312	6793	14911
313	6812	14884
314	6832	14856
315	6850	14828
316	6870	14801
317	6889	14775
318	6909	14749
319	6929	14724
320	6952	14705
321	6975	14687
322	7000	14673
323	7027	14662
324	7052	14646
325	7076	14631
326	7102	14617
327	7128	14604
328	7151	14584
329	7172	14563
330	7198	14549
331	7223	14535
332	7247	14516
333	7269	14495
334	7290	14471
335	7311	14448
336	7336	14432
337	7360	14415
338	7383	14397
339	7407	14378
340	7428	14355
341	7448	14330
342	7469	14306
343	7490	14283
344	7510	14259
345	7532	14237
346	7554	14216
347	7580	14201
348	7605	14186
349	7630	14171
350	7651	14147
351	7670	14120
352	7697	14107
353	7720	14089
354	7743	14070
355	7770	14056
356	7807	14062
357	7841	14061
358	7865	14044
359	7888	14023
360	7909	14000
361	7931	13978
362	7954	13958
363	7976	13936
364	7996	13912
365	8016	13886
366	8036	13861
367	8057	13837
368	8076	13811
369	8095	13784
370	8114	13758
371	8134	13731
372	8154	13706
373	8173	13680
374	8193	13655
375	8213	13630
376	8235	13609
377	8258	13588
378	8279	13565
379	8303	13548
380	8325	13526
381	8348	13506
382	8369	13482
383	8389	13457
384	8409	13433
385	8430	13409
386	8450	13385
387	8470	13360
388	8491	13337
389	8511	13313
390	8533	13291
391	8554	13267
392	8574	13244
393	8595	13220
394	8623	13208
395	8644	13184
396	8664	13160
397	8684	13136
398	8704	13111
399	8724	13086
400	8744	13062
401	8764	13038
402	8784	13013
403	8806	12992
404	8828	12970
405	8849	12946
406	8868	12921
407	8888	12896
408	8907	12871
409	8926	12845
410	8946	12820
411	8965	12795
412	8984	12769
413	9004	12744
414	9024	12721
415	9045	12698
416	9064	12673
417	9084	12649
418	9120	12646
419	9161	12651
420	9191	12641
421	9210	12614
422	9226	12585
423	9243	12556
424	9260	12528
425	9277	12500
426	9294	12471
427	9311	12444
428	9328	12416
429	9346	12389
430	9364	12362
431	9384	12339
432	9403	12313
433	9421	12287
434	9440	12261
435	9459	12236
436	9479	12212
437	9504	12195
438	9550	12205
439	9574	12185
440	9594	12161
441	9613	12136
442	9632	12111
443	9651	12086
444	9670	12061
445	9689	12035
446	9708	12010
447	9727	11986
448	9747	11961
449	9765	11936
450	9785	11911
451	9804	11886
452	9823	11861
453	9842	11837
454	9861	11812
455	9881	11788
456	9900	11763
457	9919	11738
458	9938	11713
459	9957	11689
460	9976	11665
461	9996	11640
462	10014	11615
463	10034	11591
464	10053	11566
465	10073	11543
466	10094	11521
467	10115	11499
468	10135	11475
469	10155	11451
470	10174	11427
471	10193	11403
472	10213	11379
473	10232	11355
474	10251	11330
475	10271	11307
476	10290	11283
477	10309	11258
478	10329	11234
479	10348	11210
480	10367	11186
481	10386	11162
482	10405	11138
483	10440	11130
484	10475	11123
485	10506	11112
486	10529	11091
487	10545	11063
488	10561	11036
489	10577	11009
490	10594	10983
491	10611	10956
492	10628	10930
493	10645	10904
494	10662	10878
495	10680	10852
496	10698	10827
497	10716	10802
498	10735	10778
499	10753	10753
500	10771	10728
501	10789	10703
502	10808	10679
503	10827	10656
504	10847	10632
505	10865	10608
506	10884	10584
507	10903	10560
508	10923	10536
509	10942	10513
510	10962	10490
511	10983	10468
512	11002	10444
513	11021	10421
514	11041	10397
515	11059	10373
516	11079	10350
517	11098	10326
518	11117	10303
519	11136	10279
520	11155	10256
521	11174	10232
522	11193	10209
523	11212	10185
524	11231	10161
525	11250	10138
526	11269	10114
527	11289	10091
528	11308	10068
529	11328	10045
530	11347	10022
531	11372	10004
532	11393	9982
533	11419	9965
534	11440	9943
535	11460	9921
536	11480	9898
537	11499	9875
538	11518	9852
539	11537	9828
540	11557	9805
541	11577	9782
542	11596	9759
543	11615	9736
544	11635	9713
545	11654	9690
546	11673	9667
547	11692	9644
548	11711	9620
549	11730	9597
550	11765	9587
551	11800	9577
552	11835	9566
553	11859	9547
554	11877	9523
555	11895	9499
556	11915	9477
557	11935	9454
558	11956	9432
559	11981	9413
560	12005	9394
561	12027	9373
562	12049	9353
563	12070	9331
564	12092	9309
565	12112	9287
566	12132	9265
567	12152	9242
568	12170	9218
569	12189	9195
570	12208	9172
571	12228	9149
572	12248	9127
573	12267	9104
574	12288	9082
575	12310	9062
576	12333	9041
577	12357	9021
578	12380	9002
579	12404	8982
580	12428	8962
581	12451	8942
582	12472	8921
583	12493	8899
584	12515	8878
585	12536	8857
586	12557	8835
587	12579	8814
588	12601	8793
589	12622	8771
590	12643	8749
591	12663	8727
592	12683	8705
593	12704	8683
594	12729	8664
595	12756	8646
596	12781	8627
597	12805	8608
598	12829	8588
599	12853	8568
600	12874	8547
601	12897	8526
602	12919	8505
603	12940	8484
604	12961	8462
605	12982	8440
606	13002	8418
607	13023	8396
608	13044	8375
609	13082	8363
610	13125	8356
611	13158	8342
612	13180	8320
613	13199	8298
614	13221	8276
615	13243	8255
616	13264	8233
617	13286	8212
618	13310	8192
619	13329	8169
620	13351	8148
621	13373	8127
622	13396	8106
623	13419	8086
624	13442	8065
625	13465	8045
626	13489	8024
627	13513	8004
628	13536	7984
629	13560	7964
630	13582	7943
631	13607	7923
632	13631	7902
633	13654	7882
634	13678	7862
635	13701	7841
636	13726	7822
637	13749	7801
638	13774	7781
639	13796	7760
640	13821	7740
641	13843	7719
642	13865	7698
643	13887	7676
644	13909	7655
645	13929	7633
646	13952	7612
647	13973	7590
648	13994	7568
649	14015	7546
650	14035	7524
651	14056	7502
652	14077	7480
653	14099	7459
654	14119	7436
655	14139	7414
656	14159	7392
657	14181	7370
658	14201	7348
659	14221	7326
660	14241	7303
661	14262	7281
662	14282	7259
663	14301	7236
664	14320	7214
665	14340	7191
666	14362	7170
667	14397	7155
668	14432	7140
669	14467	7125
670	14489	7104
671	14506	7080
672	14522	7056
673	14539	7032
674	14555	7008
675	14572	6984
676	14589	6960
677	14608	6938
678	14626	6914
679	14645	6892
680	14664	6869
681	14684	6846
682	14703	6824
683	14721	6801
684	14740	6778
685	14758	6755
686	14777	6732
687	14796	6709
688	14816	6687
689	14835	6665
690	14854	6642
691	14874	6620
692	14894	6598
693	14913	6575
694	14933	6553
695	14951	6530
696	14970	6508
697	14990	6485
698	15009	6463
699	15028	6440
700	15050	6419
701	15073	6398
702	15123	6389
703	15155	6372
704	15179	6351
705	15200	6330
706	15221	6308
707	15240	6285
708	15261	6263
709	15281	6241
710	15299	6218
711	15319	6196
712	15338	6174
713	15357	6151
714	15377	6129
715	15397	6107
716	15416	6085
717	15436	6062
718	15456	6040
719	15476	6018
720	15496	5996
721	15516	5974
722	15535	5952
723	15554	5929
724	15574	5907
725	15593	5885
726	15612	5862
727	15631	5840
728	15650	5818
729	15669	5795
730	15689	5773
731	15723	5756
732	15757	5739
733	15791	5722
734	15814	5701
735	15831	5678
736	15847	5655
737	15863	5631
738	15880	5608
739	15896	5585
740	15913	5562
741	15930	5539
742	15947	5516
743	15965	5493
744	15982	5470
745	16000	5447
746	16017	5425
747	16035	5402
748	16053	5379
749	16072	5357
750	16090	5335
751	16109	5312
752	16127	5290
753	16146	5267
754	16165	5245
755	16185	5223
756	16204	5201
757	16223	5179
758	16242	5157
759	16261	5135
760	16281	5113
761	16300	5091
762	16319	5069
763	16339	5047
764	16358	5025
765	16377	5002
766	16396	4980
767	16415	4958
768	16434	4936
769	16453	4914
770	16473	4892
771	16491	4870
772	16510	4848
773	16530	4826
774	16549	4804
775	16568	4782
776	16587	4760
777	16606	4738
778	16625	4716
779	16645	4694
780	16664	4672
781	16683	4650
782	16702	4628
783	16721	4606
784	16740	4585
785	16759	4563
786	16778	4541
787	16797	4519
788	16816	4497
789	16836	4475
790	16857	4454
791	16879	4433
792	16899	4411
793	16918	4389
794	16937	4367
795	16955	4345
796	16974	4323
797	16993	4301
798	17012	4279
799	17045	4261
800	17079	4243
801	17119	4226
802	17151	4207
803	17173	4186
804	17190	4164
805	17207	4141
806	17225	4119
807	17246	4098
808	17266	4076
809	17286	4054
810	17305	4032
811	17325	4011
812	17344	3989
813	17361	3967
814	17381	3945
815	17399	3923
816	17419	3901
817	17437	3879
818	17457	3858
819	17479	3836
820	17501	3815
821	17522	3794
822	17544	3773
823	17566	3752
824	17587	3730
825	17611	3709
826	17632	3688
827	17653	3667
828	17675	3645
829	17697	3624
830	17720	3603
831	17741	3582
832	17763	3561
833	17783	3539
834	17802	3517
835	17822	3496
836	17842	3474
837	17862	3453
838	17883	3431
839	17905	3410
840	17926	3389
841	17949	3368
842	17973	3347
843	17997	3326
844	18022	3305
845	18050	3285
846	18076	3265
847	18102	3244
848	18127	3224
849	18153	3203
850	18176	3182
851	18197	3161
852	18218	3139
853	18240	3118
854	18259	3096
855	18280	3075
856	18301	3053
857	18321	3032
858	18343	3010
859	18367	2989
860	18388	2968
861	18410	2947
862	18431	2926
863	18456	2905
864	18481	2884
865	18507	2863
866	18530	2842
867	18555	2821
868	18578	2800
869	18606	2780
870	18637	2760
871	18661	2739
872	18682	2717
873	18703	2696
874	18724	2674
875	18744	2653
876	18765	2631
877	18786	2610
878	18810	2589
879	18830	2567
880	18851	2546
881	18872	2524
882	18893	2503
883	18913	2481
884	18933	2460
885	18953	2438
886	18974	2417
887	18995	2395
888	19020	2374
889	19043	2353
890	19068	2332
891	19093	2311
892	19119	2290
893	19144	2269
894	19167	2248
895	19189	2227
896	19212	2206
897	19234	2184
898	19256	2163
899	19281	2142
900	19302	2120
901	19325	2099
902	19346	2078
903	19368	2056
904	19389	2035
905	19412	2014
906	19436	1992
907	19459	1971
908	19482	1950
909	19505	1929
910	19529	1907
911	19551	1886
912	19574	1865
913	19597	1844
914	19621	1822
915	19643	1801
916	19664	1779
917	19698	1759
918	19744	1740
919	19779	1719
920	19810	1699
921	19831	1677
922	19849	1655
923	19868	1634
924	19887	1612
925	19908	1590
926	19927	1569
927	19945	1547
928	19964	1525
929	19981	1503
930	19999	1482
931	20017	1460
932	20035	1438
933	20054	1417
934	20072	1395
935	20091	1373
936	20109	1352
937	20129	1330
938	20150	1309
939	20172	1287
940	20193	1266
941	20215	1244
942	20236	1223
943	20257	1201
944	20279	1180
945	20303	1158
946	20324	1137
947	20345	1115
948	20366	1094
949	20388	1073
950	20411	1051
951	20433	1030
952	20456	1008
953	20478	987
954	20502	966
955	20528	944
956	20552	923
957	20575	902
958	20599	880
959	20625	859
960	20648	837
961	20672	816
962	20693	795
963	20713	773
964	20734	752
965	20754	730
966	20774	708
967	20794	687
968	20814	665
969	20833	644
970	20852	622
971	20873	601
972	20893	579
973	20914	558
974	20937	536
975	20960	515
976	20983	493
977	21023	472
978	21069	451
979	21102	430
980	21123	409
981	21148	387
982	21167	366
983	21184	344
984	21203	322
985	21221	301
986	21239	279
987	21257	258
988	21275	236
989	21292	215
990	21311	193
991	21329	172
992	21348	150
993	21366	128
994	21384	107
995	21403	85
996	21422	64
997	21441	42
998	21460	21
999	21480	0
